GVKEY,LPERMNO,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,rdq,atq,ceqq,niq,costat,gsector,gsubind
001045,21020,2015-06-30,2015,2,INDL,C,D,STD,USD,2015Q2,2015Q2,2015-07-24,47868.0000,3636.0000,1704.0000,A,20,20302010
001045,21020,2015-09-30,2015,3,INDL,C,D,STD,USD,2015Q3,2015Q3,2015-10-23,48715.0000,3762.0000,1693.0000,A,20,20302010
001045,21020,2015-12-31,2015,4,INDL,C,D,STD,USD,2015Q4,2015Q4,2016-01-29,48415.0000,5635.0000,3281.0000,A,20,20302010
001045,21020,2016-03-31,2016,1,INDL,C,D,STD,USD,2016Q1,2016Q1,2016-04-22,49909.0000,4710.0000,700.0000,A,20,20302010
001045,21020,2016-06-30,2016,2,INDL,C,D,STD,USD,2016Q2,2016Q2,2016-07-22,51051.0000,4312.0000,950.0000,A,20,20302010
001045,21020,2016-09-30,2016,3,INDL,C,D,STD,USD,2016Q3,2016Q3,2016-10-20,51108.0000,4391.0000,737.0000,A,20,20302010
001045,21020,2016-12-31,2016,4,INDL,C,D,STD,USD,2016Q4,2016Q4,2017-01-27,51274.0000,3785.0000,289.0000,A,20,20302010
001045,21020,2017-03-31,2017,1,INDL,C,D,STD,USD,2017Q1,2017Q1,2017-04-27,52627.0000,3457.0000,340.0000,A,20,20302010
001045,21020,2017-06-30,2017,2,INDL,C,D,STD,USD,2017Q2,2017Q2,2017-07-28,53336.0000,3715.0000,864.0000,A,20,20302010
001045,21020,2017-09-30,2017,3,INDL,C,D,STD,USD,2017Q3,2017Q3,2017-10-26,52401.0000,3948.0000,661.0000,A,20,20302010
001045,21020,2017-12-31,2017,4,INDL,C,D,STD,USD,2017Q4,2017Q4,2018-01-25,51396.0000,3926.0000,-583.0000,A,20,20302010
001045,21020,2018-03-31,2018,1,INDL,C,D,STD,USD,2018Q1,2018Q1,2018-04-26,53280.0000,-1018.0000,159.0000,A,20,20302010
001045,21020,2018-06-30,2018,2,INDL,C,D,STD,USD,2018Q2,2018Q2,2018-07-26,52622.0000,-869.0000,557.0000,A,20,20302010
001045,21020,2018-09-30,2018,3,INDL,C,D,STD,USD,2018Q3,2018Q3,2018-10-25,52635.0000,-568.0000,372.0000,A,20,20302010
001045,21020,2018-12-31,2018,4,INDL,C,D,STD,USD,2018Q4,2018Q4,2019-01-24,60580.0000,-169.0000,324.0000,A,20,20302010
001045,21020,2019-03-31,2019,1,INDL,C,D,STD,USD,2019Q1,2019Q1,2019-04-26,60787.0000,-636.0000,185.0000,A,20,20302010
001045,21020,2019-06-30,2019,2,INDL,C,D,STD,USD,2019Q2,2019Q2,2019-07-25,61967.0000,-22.0000,662.0000,A,20,20302010
001045,21020,2019-09-30,2019,3,INDL,C,D,STD,USD,2019Q3,2019Q3,2019-10-24,61175.0000,160.0000,425.0000,A,20,20302010
001045,21020,2019-12-31,2019,4,INDL,C,D,STD,USD,2019Q4,2019Q4,2020-01-23,59995.0000,-118.0000,414.0000,A,20,20302010
001045,21020,2020-03-31,2020,1,INDL,C,D,STD,USD,2020Q1,2020Q1,2020-04-30,58580.0000,-2636.0000,-2241.0000,A,20,20302010
001045,21020,2020-06-30,2020,2,INDL,C,D,STD,USD,2020Q2,2020Q2,2020-07-23,64544.0000,-3169.0000,-2067.0000,A,20,20302010
